id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude
C1216,Illegal dumping of commercial plastic and building debris at MG Road.,Sanitation,Garbage Dump,MG Road,2 days,27.52357,77.70241
C1217,Children swing set broken with sharp rusted metal in Indiranagar park.,Parks,Damaged Equipment,Indiranagar,4 days,27.49437,77.67031
C1218,Excessive loudspeaker noise past midnight violating regulations in Karol Bagh.,Other,Noise Pollution,Karol Bagh,4 days,27.50846,77.69029
C1219,Complete power outage in Jubilee Hills for a few days.,Electrical,Power Outage,Jubilee Hills,a few days,27.4908,77.66742
C1220,"Underground drainage blocked, dirty sewage entering houses in Rohini Sector 15.",Sewage,Sewage Overflow,Rohini Sector 15,24 hours,27.509,77.67907
C1221,Overgrown grass and weeds attracting snakes in Karol Bagh park.,Parks,Park Maintenance,Karol Bagh,24 hours,27.52478,77.68884
C1222,Overgrown grass and weeds attracting snakes in Jubilee Hills park.,Parks,Park Maintenance,Jubilee Hills,2 days,27.51307,77.7006
C1223,Illegal dumping of commercial plastic and building debris at Bandra West.,Sanitation,Garbage Dump,Bandra West,3 days,27.51551,77.67348
C1224,Residents falling sick due to contaminated water supply in Connaught Place.,Water,Contaminated Water,Connaught Place,2 days,27.52199,77.67242
C1225,Children swing set broken with sharp rusted metal in Dwarka Sector 10 park.,Parks,Damaged Equipment,Dwarka Sector 10,1 week,27.52415,77.67725
C1226,Garbage truck has not arrived for 2 days in Civil Lines.,Sanitation,Uncollected Waste,Civil Lines,2 days,27.50528,77.70795
C1227,Frequent power tripping and voltage fluctuation in Saket.,Electrical,Power Outage,Saket,3 days,27.51996,77.66978
C1228,Complete power outage in Connaught Place for 1 week.,Electrical,Power Outage,Connaught Place,1 week,27.48605,77.69987
C1229,Stormwater drain clogged with plastic in MG Road.,Sewage,Blocked Drain,MG Road,1 week,27.49993,77.69881
C1230,Complete power outage in Karol Bagh for yesterday.,Electrical,Power Outage,Karol Bagh,yesterday,27.48768,77.68178
C1231,"No water supply for yesterday in Salt Lake, please restore immediately.",Water,No Water Supply,Salt Lake,yesterday,27.48674,77.68544
C1232,Broken drain lid collapsed into gutter at Vasant Kunj.,Sewage,Open Manhole,Vasant Kunj,1 week,27.51508,77.69269
C1233,Overgrown grass and weeds attracting snakes in Jubilee Hills park.,Parks,Park Maintenance,Jubilee Hills,yesterday,27.51082,77.69166
C1234,Sewage water overflowing from manhole flooding Koramangala for 3 days.,Sewage,Sewage Overflow,Koramangala,3 days,27.50723,77.70807
C1235,Severe traffic gridlock due to illegal parking in Janakpuri.,Traffic,Traffic Congestion,Janakpuri,a few days,27.50552,77.6987
C1236,Overgrown grass and weeds attracting snakes in Jubilee Hills park.,Parks,Park Maintenance,Jubilee Hills,yesterday,27.51007,77.67419
C1237,Severe traffic gridlock due to illegal parking in Noida Sector 18.,Traffic,Traffic Congestion,Noida Sector 18,1 week,27.51368,77.67407
C1238,Frequent power tripping and voltage fluctuation in Karol Bagh.,Electrical,Power Outage,Karol Bagh,1 week,27.49603,77.69593
C1239,Broken speed breaker without markings near Indiranagar.,Roads,Damaged Road,Indiranagar,5 days,27.52474,77.67444
C1240,Transformer sparking loudly and emitting smoke near Rohini Sector 15.,Electrical,Open Wire / Sparking,Rohini Sector 15,1 week,27.48574,77.67994
C1241,Transformer sparking loudly and emitting smoke near Vasant Kunj.,Electrical,Open Wire / Sparking,Vasant Kunj,1 week,27.52552,77.70997
C1242,Broken speed breaker without markings near MG Road.,Roads,Damaged Road,MG Road,a few days,27.49781,77.69941
C1243,Garbage truck has not arrived for yesterday in Salt Lake.,Sanitation,Uncollected Waste,Salt Lake,yesterday,27.48503,77.68718
C1244,Overgrown grass and weeds attracting snakes in Janakpuri park.,Parks,Park Maintenance,Janakpuri,yesterday,27.50454,77.69059
C1245,Stormwater drain clogged with plastic in Jubilee Hills.,Sewage,Blocked Drain,Jubilee Hills,5 days,27.52816,77.67566
C1246,Massive pothole in front of market Dwarka Sector 10 since 2 days.,Roads,Pothole,Dwarka Sector 10,2 days,27.48693,77.67961
C1247,General civic grievance regarding services delay in Janakpuri.,Other,Other,Janakpuri,4 days,27.50055,77.70511
C1248,Severe traffic gridlock due to illegal parking in Noida Sector 18.,Traffic,Traffic Congestion,Noida Sector 18,24 hours,27.52039,77.69046
C1249,Garbage truck has not arrived for 2 days in Jubilee Hills.,Sanitation,Uncollected Waste,Jubilee Hills,2 days,27.50994,77.66667
C1250,Drinking water coming with foul smell and yellowish dirty color in Vasant Kunj.,Water,Contaminated Water,Vasant Kunj,3 days,27.50903,77.66573
